Hospitalizations - Total,Cases - Total,Deaths - Total,Date
6.0,55.0,0.0,07/22/2023
,30.0,0.0,07/09/2023
23.0,400.0,6.0,10/28/2021
77.0,999.0,20.0,01/22/2022
44.0,299.0,2.0,01/07/2023
32.0,613.0,2.0,05/28/2022
20.0,320.0,4.0,10/11/2021
20.0,260.0,0.0,03/10/2023
33.0,452.0,1.0,07/03/2022
3.0,312.0,1.0,03/23/2022
6.0,40.0,0.0,07/16/2023
22.0,385.0,3.0,10/27/2021
22.0,144.0,1.0,01/13/2024
29.0,161.0,1.0,02/19/2023
14.0,549.0,1.0,04/15/2022
20.0,400.0,5.0,09/09/2020
35.0,252.0,2.0,12/31/2022
29.0,365.0,1.0,10/21/2022
27.0,192.0,1.0,09/20/2023
24.0,210.0,11.0,06/16/2020
